CODE,COMPANY
AAPL,Apple Inc.
MSFT,Microsoft Corporation
GOOGL,Alphabet Inc.
NVDA,NVIDIA Corporation
META,"Meta Platforms, Inc."
ADBE,Adobe Inc.
CSCO,"Cisco Systems, Inc."
INTC,Intel Corporation
CRM,"Salesforce, Inc."
NFLX,"Netflix, Inc."
PYPL,"PayPal Holdings, Inc."
SHOP,Shopify Inc.
AMD,"Advanced Micro Devices, Inc."
SNOW,Snowflake Inc.
AMGN,Amgen Inc.
GILD,"Gilead Sciences, Inc."
VRTX,Vertex Pharmaceuticals Incorporated
BIIB,Biogen Inc.
REGN,"Regeneron Pharmaceuticals, Inc."
MRNA,"Moderna, Inc."
ILMN,"Illumina, Inc."
EXAS,Exact Sciences Corporation
SGEN,Seagen Inc.
BMRN,BioMarin Pharmaceutical Inc.
TMO,Thermo Fisher Scientific Inc.
CRL,"Charles River Laboratories Int'l, Inc."
UTHR,United Therapeutics Corporation
DXCM,"DexCom, Inc."
ALGN,"Align Technology, Inc."
