Model,MAE,MSE,RMSE,R2
Random Forest,516.566000316723,386447.2724940486,621.6488337430133,-2.7767650923271603e-05
Random Forest,516.4274868032095,386297.8685692571,621.5286546646558,-2.5478796644495816e-05
Random Forest,516.45923828125,386331.8656091876,621.5560035983785,-2.5994868567691398e-05
Random Forest,516.4443786951014,386315.9365330583,621.5431895959108,-2.5752711325432998e-05
Random Forest,516.3896450063345,386257.54536602716,621.496215085842,-2.4870423777967332e-05
Random Forest,516.2578882495777,386118.8024877412,621.3845850097516,-2.280899648665624e-05
Random Forest,516.3822152132601,386249.65326844505,621.4898657809675,-2.475183134853509e-05
Random Forest,516.0835652449325,385939.1847759234,621.24003796916,-2.021737740487417e-05
Random Forest,515.9889706503378,385843.599485858,621.1631021606628,-1.887589691107472e-05
Random Forest,515.9781624788851,385832.7624213343,621.1543788957254,-1.872552882642431e-05
Random Forest,515.915998997044,385770.76843696804,621.1044746554061,-1.7872263290419355e-05
Random Forest,515.915998997044,385770.76843696804,621.1044746554061,-1.7872263290419355e-05
